producto,presentacion,precio_publico,precio_mayorista
BPC-157,Vial 5 mg,175,
BPC-157,Vial 10 mg,300,
TB-500,Vial 10 mg,245,
TB-500,Vial 20 mg,405,
KPV,Vial 10 mg,215,
Ipamorelin,Vial 5 mg,215,
Ipamorelin,Vial 10 mg,370,
Sermorelin,Vial 5 mg,215,
CJC-1295 sin DAC,Vial 2 mg,215,
CJC-1295 sin DAC,Vial 5 mg,360,
CJC-1295 con DAC,Vial 2 mg,255,
CJC-1295 con DAC,Vial 5 mg,450,
AOD-9604,Vial 5 mg,330,
MOTS-c,Vial 10 mg,255,
Tesamorelin,Vial 2 mg,215,
Tesamorelin,Vial 5 mg,400,
Tesamorelin,Vial 10 mg,580,
N-Acetil Epitalon,Vial 10 mg,215,
N-Acetil Epitalon,Vial 50 mg,370,
FoxO4-DRI,Vial 10 mg,785,
Pinealon,Vial 20 mg,275,
Cardiogen,Vial 20 mg,265,
Cortagen,Vial 20 mg,265,
Crystagen,Vial 20 mg,265,
Ovagen,Vial 20 mg,245,
Prostamax,Vial 20 mg,375,
Vesilute,Vial 20 mg,215,
Thymalin,Vial 20 mg,295,
Timosina Alpha-1,Vial 5 mg,235,
Timosina Alpha-1,Vial 10 mg,400,
GHK-Cu,Vial 50 mg,175,
GHK-Cu,Vial 100 mg,300,
SNAP-8,Vial 10 mg,215,
Selank,Vial 5 mg,165,
Selank,Vial 10 mg,230,
Semax,Vial 10 mg,175,
PT-141,Vial 10 mg,255,
Melanotan II,Vial 10 mg,235,
Kisspeptina-10,Vial 10 mg,275,
KLOW,Vial 80 mg,680,
GLOW 30,Vial 30 mg,340,
GLOW 50,Vial 50 mg,470,
Wolverine,Vial 10 mg,255,
Wolverine,Vial 20 mg,440,
Agua Bacteriostática,Vial 3 ml,10,
Agua Bacteriostática,Vial 10 ml,15,
Follistatin-315,Vial 1 mg,175,
GHRP-2,Vial 2 mg,175,
GHRP-2,Vial 5 mg,300,
GHRP-6,Vial 2 mg,175,
GHRP-6,Vial 5 mg,300,
Gonadorelina,Vial 5 mg,215,
IGF-1 LR3,Vial 1 mg,435,
DSIP,Vial 5 mg,175,
DSIP,Vial 10 mg,300,
Dihexa,Vial 5 mg,385,
Dihexa,Vial 10 mg,700,
Oxitocina,Vial 10 mg,175,
PEG-MGF,Vial 5 mg,355,
LL-37,Vial 5 mg,275,
Humanin,Vial 10 mg,685,
Melanotan I,Vial 10 mg,235,
Livagen,Vial 20 mg,245,
Pancreagen,Vial 20 mg,245,
