producto,presentacion,categoria,contexto,imagen,precio_publico,precio_mayorista
BPC-157,Vial 5 mg,Recuperación,"Pentadecapéptido derivado de una proteína gástrica, ampliamente estudiado en modelos de investigación por su papel en la señalización de reparación de tejidos.",bpc-157-5.webp,175,
BPC-157,Vial 10 mg,Recuperación,"Pentadecapéptido derivado de una proteína gástrica, ampliamente estudiado en modelos de investigación por su papel en la señalización de reparación de tejidos.",bpc-157-10.webp,300,
TB-500,Vial 10 mg,Recuperación,"Fragmento sintético relacionado con la Timosina Beta-4, investigado por su rol en la organización de la actina y la movilidad celular.",tb-500-10.webp,245,
KPV,Vial 10 mg,Recuperación,"Tripéptido terminal de la α-MSH, estudiado en investigación por su relación con las vías de señalización inflamatoria.",kpv-10.webp,215,
Ipamorelin,Vial 5 mg,Crecimiento,Pentapéptido selectivo estudiado como secretagogo en la investigación del eje de la hormona de crecimiento.,ipamorelin-5.webp,215,
Ipamorelin,Vial 10 mg,Crecimiento,Pentapéptido selectivo estudiado como secretagogo en la investigación del eje de la hormona de crecimiento.,ipamorelin-10.webp,370,
Sermorelin,Vial 5 mg,Crecimiento,Análogo del GHRH (1-29) investigado por su interacción con los receptores de liberación de hormona de crecimiento.,sermorelin-5.webp,215,
CJC-1295 sin DAC,Vial 2 mg,Crecimiento,"Análogo del GHRH (Mod GRF 1-29) de vida media corta, estudiado en investigación del eje somatotropo.",cjc-1295-sin-dac-2.webp,215,
CJC-1295 sin DAC,Vial 5 mg,Crecimiento,"Análogo del GHRH (Mod GRF 1-29) de vida media corta, estudiado en investigación del eje somatotropo.",cjc-1295-sin-dac-5.webp,360,
CJC-1295 con DAC,Vial 2 mg,Crecimiento,"Análogo del GHRH con Drug Affinity Complex, investigado por su vida media extendida en modelos de laboratorio.",cjc-1295-con-dac-2.webp,255,
CJC-1295 con DAC,Vial 5 mg,Crecimiento,"Análogo del GHRH con Drug Affinity Complex, investigado por su vida media extendida en modelos de laboratorio.",cjc-1295-con-dac-5.webp,450,
AOD-9604,Vial 5 mg,Metabolismo,"Fragmento (176-191) de la hormona de crecimiento, estudiado en investigación por su relación con el metabolismo de los lípidos.",aod-9604-5.webp,330,
MOTS-c,Vial 10 mg,Metabolismo,"Péptido derivado del ADN mitocondrial, investigado por su papel en la homeostasis metabólica celular.",mots-c-10.webp,255,
Tesamorelin,Vial 2 mg,Metabolismo,"Análogo estabilizado de la GHRH, investigado por su acción sobre el eje de la hormona de crecimiento y, en particular, por su relación con la reducción de la grasa visceral.",tesa-2.webp,215,
Tesamorelin,Vial 5 mg,Metabolismo,"Análogo estabilizado de la GHRH, investigado por su acción sobre el eje de la hormona de crecimiento y, en particular, por su relación con la reducción de la grasa visceral.",tesa-5.webp,400,
Tesamorelin,Vial 10 mg,Metabolismo,"Análogo estabilizado de la GHRH, investigado por su acción sobre el eje de la hormona de crecimiento y, en particular, por su relación con la reducción de la grasa visceral.",tesa-10.webp,580,
N-Acetil Epitalon,Vial 10 mg,Longevidad,"Tetrapéptido bioregulador acetilado, estudiado en investigación por su relación con la telomerasa y los ritmos de la pineal.",n-acetil-epitalon-10.webp,215,
N-Acetil Epitalon,Vial 50 mg,Longevidad,"Tetrapéptido bioregulador acetilado, estudiado en investigación por su relación con la telomerasa y los ritmos de la pineal.",n-acetil-epitalon-50.webp,370,
FoxO4-DRI,Vial 10 mg,Longevidad,Péptido D-retro-inverso investigado en la ciencia de la senescencia celular y la interacción FoxO4–p53.,foxo4-dri-10.webp,785,
Pinealon,Vial 20 mg,Longevidad,"Tripéptido bioregulador para la pineal, estudiado en investigación de la función neuronal.",pinealon-20.webp,275,
Cardiogen,Vial 20 mg,Longevidad,Bioregulador peptídico estudiado en investigación asociada al tejido cardíaco.,cardiogen-20.webp,265,
Cortagen,Vial 20 mg,Longevidad,Bioregulador peptídico corto investigado en el contexto del tejido nervioso periférico.,cortagen-20.webp,265,
Crystagen,Vial 20 mg,Longevidad,Bioregulador peptídico estudiado en investigación relacionada con la respuesta inmunitaria.,crystagen-20.webp,265,
Ovagen,Vial 20 mg,Longevidad,Bioregulador peptídico investigado en el contexto de la función hepática en modelos de laboratorio.,ovagen-20.webp,245,
Prostamax,Vial 20 mg,Longevidad,Complejo peptídico estudiado en investigación asociada al tejido prostático.,prostamax-20.webp,375,
Vesilute,Vial 20 mg,Longevidad,Bioregulador peptídico investigado en el contexto del tejido de las vías urinarias.,vesilute-20.webp,215,
Thymalin,Vial 20 mg,Longevidad,Extracto peptídico del timo ampliamente estudiado en investigación de la modulación inmunitaria.,thymalin-20.webp,295,
Timosina Alpha-1,Vial 5 mg,Longevidad,Péptido de 28 aminoácidos investigado por su papel en la señalización del sistema inmunitario.,timosina-alpha-1-5.webp,235,
Timosina Alpha-1,Vial 10 mg,Longevidad,Péptido de 28 aminoácidos investigado por su papel en la señalización del sistema inmunitario.,timosina-alpha-1-10.webp,400,
GHK-Cu,Vial 50 mg,Piel,"Tripéptido de cobre presente de forma natural en el plasma, muy estudiado en cosmética por su afinidad con el cobre y la matriz dérmica.",ghk-cu-50.webp,175,
GHK-Cu,Vial 100 mg,Piel,"Tripéptido de cobre presente de forma natural en el plasma, muy estudiado en cosmética por su afinidad con el cobre y la matriz dérmica.",ghk-cu-100.webp,300,
SNAP-8,Vial 10 mg,Piel,"Acetil octapéptido-3 de uso cosmético, extensión del hexapéptido, estudiado en el cuidado de la piel de expresión.",snap-8-10.webp,215,
Selank,Vial 5 mg,Cognición,"Heptapéptido sintético derivado de la tuftsina, investigado en el contexto de la modulación de la ansiedad y la cognición.",selank-5.webp,165,
Selank,Vial 10 mg,Cognición,"Heptapéptido sintético derivado de la tuftsina, investigado en el contexto de la modulación de la ansiedad y la cognición.",selank-10.webp,230,
Semax,Vial 10 mg,Cognición,"Péptido derivado de la ACTH (4-10), estudiado en investigación nootrópica y de neuroprotección.",semax-10.webp,175,
PT-141,Vial 10 mg,Vitalidad,"Bremelanotida, análogo de la melanocortina investigado por su interacción con los receptores MC en modelos de laboratorio.",pt-141-10.webp,255,
